goal,step0,step1,label,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
Apply for an SBI Credit Card,Provide the necessary information.,Agree to the terms and conditions.,A,B,1,A,1,B,2,A,1
Buy Books on Google Play,Go to the Books section.,Visit Google Play.,B,B,1,A,1,A,1,A,1
Use Amazon on Demand,Navigate to the Amazon Video on Demand Store.,Select a movie or TV show to watch.,A,A,1,A,1,A,1,A,1
Straighten Curly and Thick Hair,Purchase the right straightener for your hair type.,Turn on your straightener and select the right heat setting.,A,A,1,A,1,A,1,A,1
Rip a Karaoke CD Using Golden Hawk CDRWin,CDRWIN will start ripping your selected tracks to the selected location and in selected format.,Now choose the tracks you want to rip and click on start button below.,B,A,1,A,1,B,1,B,1
Apply a Tourniquet,Use a stick or rod for tightening.,Apply the tourniquet between the heart and injury.,B,B,1,A,1,A,1,A,1
Sew a Reversible Tote Bag,"Turn ""one"" pouch right side out.",Add pockets.,A,A,1,B,1,A,1,A,1
Select a Garter Belt,Find out the return policy before you buy anything.,Keep your receipt and leave the tags on.,A,B,1,A,1,B,1,B,1
Gently Bleach Your Skin Naturally,Apply the lemon juice to your face.,Wash if off and repeat daily.,A,B,1,A,1,A,1,A,1
Paint a Textured Ceiling,Tape around all the wall edges with painters tape if you are painting the ceiling a color that differs from the walls.,"Vacuum the ceiling using a hand-held vacuum cleaner with a soft-bristled attachment, being careful not to damage the texture.",B,B,1,A,1,B,1,A,1
Clean Air Conditioner Coils,Use the hose to rinse the cleaner off of outdoor units.,Reassemble the unit.,A,A,1,A,1,A,1,A,1
Play Futsal,Set a timer for 20 minutes.,Choose 5 players per team.,B,B,1,A,1,B,1,B,1
Inspect Parts Using Dye Penetrant,"Remove excess penetrant using a clean, dry, lint free cloth.",Apply the penetrant to the surface being inspected.,B,B,1,A,1,A,1,B,1
Dye Eggs for Easter,Cover with glitter paint.,Let dry.,A,B,1,B,1,B,1,B,1
Make Slime,Put the mixture in the refrigerator.,Remove the mixture from the refrigerator.,A,A,1,A,1,A,1,B,1
Buoy an Anchor,Attach the buoy to the line with a large eye splice.,Cut polypropylene cord for the buoy.,B,I,3,A,1,A,1,B,1
Graph a Quadratic Equation,Draw the parabola's axis (optional).,Plot your vertex.,B,B,1,A,1,B,1,A,1
Obtain a Cypriot Citizenship,Apply for citizenship if you've lived in Cyprus for 7 years.,Choose citizenship by investment if you can invest.,A,A,1,A,1,A,1,A,1
Clean a Bathtub,Scrub the grout with bleach or a cleaning product.,Apply the cleaner.,B,B,1,B,1,A,1,A,1
Play Heads Up 7 Up,"Have your pickers say, Heads up, seven up!  When the pickers say the name of the game in unison, the other students will open their eyes and lift ",Have the pickers choose one student each.,B,A,1,A,1,A,1,A,1
Weave a Willow Basket,Add weavers to the sides of the basket.,Weave the sides.,A,B,1,A,1,B,1,B,1
Remove Braids from Hair,Repeat the process until all of the braids are removed.,Detangle the lock of hair.,B,B,1,A,1,A,1,B,1
Test a Refrigerator PTC Relay,Order a replacement relay if the resistance doesn't read OL or 0-1 ohms.,Flip the relay upside-down to see if the resistance changes to 0-1 ohms.,B,B,1,B,1,A,3,B,1
Replace Awning Fabric,Remove the bolt and leg from the front end of the awning roller tube.,Reinsert the bolt and cover the bracket with tape.,A,B,1,A,1,A,1,A,1
Sew Pants Pockets,Cut along the edges of the paper pattern.,Pin the paper pattern piece onto your fabric.,B,B,1,B,1,A,1,T,3
Soothe Bites and Stings with Vodka,Allow the vodka to air-dry on your skin.,Squirt the vodka directly on your skin at dusk.,B,A,1,A,1,I,3,A,1
Breed Molly Fish,Remove the female from the aquarium before birthing begins.,Allow the fish to mate with one another.,B,A,1,A,1,A,1,B,1
Report a Bad Airbnb Stay,Evaluate and submit your review.,Write the text of your review.,B,A,1,B,1,A,1,B,1
Play Netball,Form two teams of 7 players.,Assign positions to the players.,A,B,1,A,1,B,1,A,1
Marble a Bottle,Pour 2 to 3 colors of acrylic craft paint into the bottle.,Clean a glass bottle with soap and water.,B,B,1,A,1,A,1,B,1
Do the Perfect Manicure or Pedicure,Add a top coat.,Allow nails to dry completely.,A,B,1,B,1,A,1,T,3
Surf,Paddle to your spot.,Identify a target spot.,B,B,1,A,1,A,1,B,1
Clean a Plastic Water Tank,Make a cleaning mixture.,Scrub the inside of the tank.,A,A,1,A,1,A,1,A,1
Relieve a Toothache and Bleeding Gums,Try crunched up paracetamol.,See the dentist as soon as possible if the bleeding gets any worse or if the toothache lasts more than a couple of days and the pain does not seem to be improving.,A,B,1,A,1,B,1,A,1
Cut Fabric on the Bias,Lay your fabric out in a single layer.,Place the pattern pieces on the fabric so the biases are perpendicular.,A,B,1,A,1,A,1,A,1
Make a Mastectomy Bra from a Regular Bra,Choose some fabric.,Place the fabric on a table.,A,A,2,A,1,A,1,A,1
Make Orange Julius,Enjoy!,"Add ice cubes one by one, until ice cubes are completely dissolved and drink is frothy.",B,B,1,B,1,B,1,B,2
Glaze a Cabinet,Cover the floors and other nearby surfaces with drop-cloths.,Tape off the walls around the edges of the cabinets with painter's tape.,A,A,1,A,1,A,1,A,1
Graph Polar Equations,Understand how polar equations work.,Make a table with values of the angle and radius.,A,B,1,A,1,A,1,A,1
Get Free Checkbook Software,Set up an account for initial use.,Talk to your bank about syncing your account information.,A,A,1,A,1,A,1,B,1
Be Ready and Comfortable Kissing a Guy,Start by cuddling.,Tell yourself that everything will be okay.,B,A,1,B,1,A,1,A,1
Make Matcha and Chocolate Swirl Cake,Serve with milk or unsweetened tea.,Bake in 350F or 180C degree in a preheated oven for 30 ,B,A,1,B,1,B,1,B,1
Wash Lacrosse Gear,Machine wash the uniform.,Tumble dry your uniform.,A,A,1,A,1,A,1,A,1
Apply for a US Visa,Read the information.,Enter the requested information.,A,B,1,B,1,A,1,A,1
Use a Vegetable Steamer,Fill the basket(s) with fresh vegetables.,Turn on your steamer and set the timer.,A,B,1,A,1,A,1,A,1
Take Apart a Track Bicycle,Optional: This is a good opportunity to change your brake pads and clean your brakes.,Unscrew the bolt that is driven into the brake through the fork.,B,A,1,B,1,A,1,B,1
Pan for Gold,Shake the pan vigorously several times.,Fill your pan so it is  full of gra,B,A,1,A,1,A,1,A,1
Use the Hue Tool on MediBang Paint Pro,"Press Ctrl+U on your keyboard to access the hue, brightness, and saturation menu on MediBang.",Move the slider on the hue bar.,A,B,1,A,1,A,1,A,1
Sue for Stock Broker Fraud,Complete other required forms.,Submit your application packet.,A,A,1,A,1,A,1,A,1
Enter a Dog in an American Bully Kennel Club (ABKC) Show,Find an event.,Look at the specific rules for each event.,A,B,1,B,1,A,1,B,1
Draw Harry Styles,Detail further with eye-balls and teeth.,"Make the shapes of the eyes, eyebrows, nose and a smiling mouth.",B,B,1,B,1,A,1,B,1
Store a Kayak,Attach the storage unit to the wall.,Buy a rope or bracket-style storage system.,B,B,1,A,1,A,1,B,1
Play the Trombone,Grip the movable part of the slide gently with your right hand.,Hold the trombone with your left hand by gripping the screw-joint.,B,B,1,B,1,B,2,B,1
Curl a Pixie Cut,Clip the roll of hair with an alligator clip.,Wrap the section of hair around your thumb and index finger.,B,B,1,A,1,A,1,A,1
Make a Cape,Make the casing.,Cut a piece of ribbon that's just a little longer than the casing.,A,B,1,A,1,B,1,A,1
Paint Vaulted Ceilings,Choose a color scheme for your ceiling.,Purchase a can of 2-in-1 interior house paint.,A,A,1,A,1,A,2,B,1
Verify Funds Before Cashing a Check,Find the banks contact inform,"Call the payers bank, or visit a branch in p",A,A,1,A,1,A,1,B,1
Take Action Against the Breach of a Purchase and Sale Agreement,Await the verdict.,Make closing arguments.,B,A,1,A,1,A,1,A,1
Cut Molding,Mark the length of the wall on the molding boards.,Visit a local hardware store and find a molding you like.,B,A,1,A,1,A,1,B,1
Clean Skechers Shoes,Wash your shoes on a cold cycle with laundry detergent.,Remove the laces and put the shoes in a delicates bag.,B,A,1,B,1,A,1,B,1
Install Steam on Linux,Type and run sudo apt install snapd.,Open your computer's Terminal window.,B,I,3,A,1,A,1,B,1
Clean Kale,Swish your kale around.,Submerge your kale in the water.,B,B,1,A,1,A,1,A,1
Assemble a Bicycle,Make sure each tire is mounted correctly on its rim.,Inflate the tires.,A,A,1,A,1,A,1,B,1
Deter House Wrens from Nestboxes,Make or purchase a Wren Guard.,Watch the nestbox.,A,B,1,A,1,A,1,A,1
Make a Match Box Bomb,Cut off all of the match heads.,Pour all the matches out of the box.,B,A,1,A,1,A,1,A,1
Grind Metal,Hold the grinding disc as level as you can to the piece of metal.,Grind along the length of the weld.,A,A,1,A,1,A,2,A,1
Perform a Titration,Drop a small amount of color indicator into the beaker.,Measure out a precise amount of analyte in a clean beaker or flask.,B,A,1,A,1,A,1,A,1
Remove a Woodruff Key,Fit the arms.,Tighten the forcing screw.,A,B,1,B,1,A,1,A,1
Report Phone Call Scams,Visit the FTC's Complaint Assistant online.,Choose the correct category and sub-category.,A,B,1,A,1,B,1,A,1
Download Full Albums,Type in an album's name.,Tap the search bar.,B,B,1,I,3,A,1,B,1
Lace Timberlands,Use the criss-cross or straight style but skip the fourth hole.,Thread the laces through the fifth hole.,A,A,1,A,1,A,1,A,1
Make a Waterbomb,Repeat the last step on the other side.,Fold the top flaps into the pockets.,B,B,1,B,1,B,1,B,1
Write a Confirmation Letter,Send your letter to the recipient promptly.,Sign the letter using blue or black ink.,B,A,1,A,1,A,1,A,1
Make Paper Cup iPhone Speakers,Cut the bottom off of each cup using a craft knife or box cutter.,Find two paper cups that are the same size.,B,A,1,A,1,A,1,B,1
Use Fashion Nova App on Android,Scroll down and view the featured items and collections.,Open the Fashion Nova app on your Android.,B,B,1,A,1,A,1,B,1
Extract Your DNA,Deliver the sample to a lab.,Collect your DNA.,B,B,1,A,1,A,1,A,1
Wet Sand Wood,Soak the sandpaper in water overnight.,Select high-grit wet sandpaper.,B,A,1,A,1,A,1,A,1
Make Spider Repellent at Home,Add dish soap and shake.,Combine essential oils and water.,B,B,1,B,1,A,1,A,1
Clean a Knife,Dry the knife.,Soak the knife for a minute or two if food is stuck on.,B,A,1,A,1,A,1,B,1
Play the Jew's Harp,Curl your lips.,Position it in your mouth.,B,A,1,A,1,A,1,A,1
Paint Fabric Shoes,Let the paint dry.,Paint your shoes following your design.,B,B,1,A,1,A,1,A,1
Stretch Cotton Pants Legs,Wait until your pants are dirty to wash them.,Wash cotton pants in a washing machine with cold water on a gentle cycle.,A,B,1,A,1,B,1,B,1
Obtain a CMS Certification Number,Complete the relevant form.,Read through the form carefully.,B,B,1,B,1,A,1,A,1
