Sentence,Typicality,Rating,Item,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
The anchorman told the parable.,Atypical (1),3.0,2,4,1,3,1,4,1,5,1
The anchorman told the news.,Typical (7),6.75,2,6,1,7,1,7,1,7,1
The animal found the map.,Atypical (1),2.0,3,7,1,4,1,4,1,7,1
The animal found the food.,Typical (7),5.85,3,7,1,7,1,7,1,7,1
The ant stacked the suitcase.,Atypical (1),1.95,4,1,1,1,1,1,1,1,1
The ant stacked the supply.,Typical (7),4.4,4,4,1,1,1,4,1,4,1
The archeologist examined the dog.,Atypical (1),1.6,5,4,1,3,1,1,1,3,1
The archeologist examined the epigraph.,Typical (7),5.5,5,4,1,7,1,4,1,7,1
The archer released the interview.,Atypical (1),2.5,6,4,1,2,1,4,1,1,1
The archer released the arrow.,Typical (7),6.6,6,7,1,7,1,7,1,7,1
The artist assembled the tent.,Atypical (1),2.0,7,4,1,3,1,4,1,7,1
The artist assembled the art.,Typical (7),6.35,7,4,1,4,1,4,1,7,1
The artist hung the motorcycle.,Atypical (1),1.95,8,4,1,3,1,4,1,4,1
The artist hung the picture.,Typical (7),5.5,8,5,1,7,1,6,1,7,1
The assistant helped the soldier.,Atypical (1),2.8,9,5,1,5,1,2,1,7,1
The assistant helped the cook.,Typical (7),5.25,9,7,1,7,1,7,1,7,1
The astronaut reached the baker.,Atypical (1),2.35,10,1,1,1,1,4,1,1,1
The astronaut reached the moon.,Typical (7),5.4,10,7,1,7,1,7,1,7,1
The astronaut touched the guitar.,Atypical (1),2.0,11,4,1,4,1,2,1,1,1
The astronaut touched the ground.,Typical (7),4.8,11,1,1,5,1,3,1,7,1
The athlete celebrated the marriage.,Atypical (1),3.1,12,4,1,6,1,4,1,1,1
The athlete celebrated the victory.,Typical (7),6.65,12,7,1,7,1,6,1,7,1
The athlete started the vacuum.,Atypical (1),3.45,13,1,3,1,1,1,1,7,1
The athlete started the match.,Typical (7),4.15,13,7,1,7,1,7,1,7,1
The athlete won the toy.,Atypical (1),3.15,14,4,1,1,1,4,1,2,1
The athlete won the cup.,Typical (7),5.15,14,7,1,7,1,7,1,7,1
The author signed the check.,Atypical (1),3.4,15,5,1,5,1,7,1,6,1
The author signed the book.,Typical (7),6.15,15,7,1,7,1,7,1,7,1
The baker gathered the soldier.,Atypical (1),1.0,16,3,1,1,1,4,1,4,1
The baker gathered the bread.,Typical (7),6.3,16,7,1,7,1,3,1,7,1
The baker sold the stroller.,Atypical (1),2.05,17,3,1,1,1,2,1,7,1
The baker sold the bread.,Typical (7),6.45,17,7,1,7,1,7,1,7,1
The bank assigned the book.,Atypical (1),2.1,18,4,1,3,1,4,1,7,1
The bank assigned the code.,Typical (7),6.15,18,5,1,5,1,4,1,7,1
The barber cut the cake.,Atypical (1),2.1,19,4,1,1,1,4,1,2,1
The barber cut the hair.,Typical (7),6.65,19,7,1,7,1,1,1,7,1
The barber used the microscope.,Atypical (1),1.2,20,3,1,1,1,2,1,4,1
The barber used the razor.,Typical (7),6.55,20,7,1,7,1,4,1,7,1
The bartender handed the lancet.,Atypical (1),1.4,21,4,1,1,1,6,1,5,1
The bartender handed the drink.,Typical (7),6.55,21,7,1,7,1,5,1,5,1
The bartender shook the flag.,Atypical (1),2.05,22,4,2,1,1,3,1,1,1
The bartender shook the drink.,Typical (7),6.25,22,7,1,7,1,7,1,7,1
The beautician spread the paint.,Atypical (1),2.9,23,5,1,1,1,5,1,7,1
The beautician spread the cream.,Typical (7),5.2,23,7,1,7,1,3,1,7,1
The biker started the lesson.,Atypical (1),3.4,24,4,1,B,3,2,1,7,1
The biker started the motorcycle.,Typical (7),6.15,24,5,1,7,1,7,1,7,1
The biker wore the swimsuit.,Atypical (1),2.1,25,1,1,1,2,1,1,1,1
The biker wore the helmet.,Typical (7),6.8,25,7,1,7,1,4,1,7,1
The billionaire donated the book.,Atypical (1),4.15,26,7,1,T,3,5,1,5,1
The billionaire donated the money.,Typical (7),6.2,26,7,1,7,1,1,1,7,1
The binman collected the flower.,Atypical (1),3.05,27,4,1,1,1,4,1,1,1
The binman collected the trash.,Typical (7),5.35,27,7,2,7,1,5,1,7,1
The biologist used the razor.,Atypical (1),3.3,28,4,1,3,1,4,1,3,1
The biologist used the microscope.,Typical (7),6.7,28,7,1,7,1,5,1,7,1
The blacksmith poured the wine.,Atypical (1),1.6,29,4,1,2,1,4,1,2,1
The blacksmith poured the metal.,Typical (7),6.5,29,4,1,7,1,4,1,7,1
The bodybuilder lifted the flag.,Atypical (1),3.1,30,4,1,5,1,4,1,7,1
The bodybuilder lifted the weight.,Typical (7),6.45,30,7,1,6,1,7,1,7,1
The boss assigned the medal.,Atypical (1),3.0,31,4,2,5,1,4,1,7,1
The boss assigned the job.,Typical (7),6.75,31,7,1,7,1,5,1,7,1
The boss promised the heaven.,Atypical (1),2.25,32,1,1,3,1,4,1,7,1
The boss promised the promotion.,Typical (7),5.95,32,7,1,6,1,7,1,7,1
The botanist examined the tire.,Atypical (1),3.0,33,1,1,7,1,1,1,2,1
The botanist examined the plant.,Typical (7),6.55,33,7,1,7,1,5,1,7,1
The boxer delivered the drink.,Atypical (1),2.2,34,4,1,1,1,2,1,1,1
The boxer delivered the punch.,Typical (7),6.15,34,7,1,7,1,4,1,7,1
The breeder sold the cigarette.,Atypical (1),1.9,35,4,1,1,1,5,1,1,1
The breeder sold the dog.,Typical (7),6.25,35,7,1,7,1,7,1,7,1
The burglar climbed the rock.,Atypical (1),2.75,36,4,1,5,1,3,1,3,1
The burglar climbed the wall.,Typical (7),6.05,36,4,1,4,1,4,1,7,1
The businessman read the fable.,Atypical (1),2.35,37,7,1,5,1,4,1,7,2
The businessman read the report.,Typical (7),6.45,37,7,1,7,1,7,1,7,1
The businessman tied the prisoner.,Atypical (1),1.45,38,1,1,1,1,3,1,7,1
The businessman tied the necktie.,Typical (7),6.5,38,7,1,7,1,7,1,7,1
The businessman wore the uniform.,Atypical (1),4.15,39,4,1,5,1,4,1,7,1
The businessman wore the tie.,Typical (7),6.55,39,7,1,7,1,5,1,7,1
The butcher carved the stone.,Atypical (1),2.3,40,1,1,1,1,3,1,5,2
The butcher carved the meat.,Typical (7),5.75,40,7,1,7,1,7,1,7,1
The butcher cut the tree.,Atypical (1),1.8,41,1,1,1,1,1,1,5,1
The butcher cut the meat.,Typical (7),6.75,41,7,1,7,1,7,1,7,1
The butcher sold the weapon.,Atypical (1),1.6,42,7,1,3,1,3,1,3,1
The butcher sold the meat.,Typical (7),6.95,42,7,1,7,1,8,3,7,1
The butcher used the camera.,Atypical (1),2.05,43,4,1,1,1,3,1,5,1
The butcher used the knife.,Typical (7),6.35,43,7,1,7,1,7,1,7,1
The cameraman recorded the sale.,Atypical (1),2.45,44,4,1,1,1,7,1,7,1
The cameraman recorded the video.,Typical (7),6.85,44,7,1,7,1,7,1,7,1
The candidate celebrated the holiday.,Atypical (1),5.0,45,5,1,7,1,7,1,7,1
The candidate celebrated the victory.,Typical (7),5.9,45,7,1,7,1,4,1,7,1
The carpenter fixed the shoe.,Atypical (1),1.2,46,4,1,2,1,5,1,7,1
The carpenter fixed the chair.,Typical (7),5.55,46,7,1,7,1,7,1,7,1
The carpenter flipped the hair.,Atypical (1),3.1,47,5,1,1,1,2,1,1,1
The carpenter flipped the board.,Typical (7),6.35,47,7,1,5,1,4,1,7,1
The carpenter grabbed the ball.,Atypical (1),1.25,48,4,1,4,1,3,1,5,1
The carpenter grabbed the board.,Typical (7),5.85,48,7,1,7,1,7,1,7,1
The carver built the house.,Atypical (1),2.9,49,4,1,3,1,5,1,7,1
The carver built the sculpture.,Typical (7),6.05,49,7,1,6,1,4,1,7,1
The cat chased the kite.,Atypical (1),3.9,50,7,1,7,1,5,1,7,1
The cat chased the bird.,Typical (7),5.85,50,7,1,7,1,7,1,7,1
The cat drank the coffee.,Atypical (1),1.45,51,5,1,1,1,5,1,1,1
The cat drank the milk.,Typical (7),5.6,51,7,1,7,1,7,1,7,1
The champion held the guitar.,Atypical (1),2.95,52,4,1,I,3,4,1,5,1
The champion held the cup.,Typical (7),6.4,52,7,1,7,1,8,3,7,1
The chauffeur carried the rifle.,Atypical (1),2.1,53,1,1,1,1,3,1,6,1
The chauffeur carried the passenger.,Typical (7),6.65,53,4,1,7,1,7,1,7,1
The cheerleader carried the rifle.,Atypical (1),2.2,54,1,1,1,1,M,3,5,1
The cheerleader carried the flag.,Typical (7),5.2,54,4,1,7,1,7,1,5,1
The cheerleader performed the spell.,Atypical (1),1.65,55,4,1,2,1,2,1,4,1
The cheerleader performed the dance.,Typical (7),5.75,55,4,1,7,1,4,1,5,1
The cheerleader shook the drink.,Atypical (1),2.75,56,7,1,4,1,2,1,4,1
The cheerleader shook the flag.,Typical (7),5.15,56,5,1,7,1,2,1,7,1
The chemist mixed the music.,Atypical (1),1.35,57,1,1,1,1,3,1,3,1
The chemist mixed the substance.,Typical (7),6.85,57,7,1,7,1,8,3,7,1
The chemist poured the juice.,Atypical (1),2.75,58,1,1,7,1,1,1,5,1
The chemist poured the compound.,Typical (7),6.25,58,4,1,7,1,4,1,7,1
The chemist sold the dog.,Atypical (1),1.9,59,4,1,1,1,5,1,1,1
The chemist sold the drug.,Typical (7),4.45,59,5,1,1,1,5,1,7,1
The child ate the bone.,Atypical (1),2.85,60,4,1,4,1,1,1,B,3
The child ate the candy.,Typical (7),6.35,60,7,1,7,1,7,1,7,1
The child built the sculpture.,Atypical (1),3.95,61,4,1,7,1,3,1,7,1
The child built the snowman.,Typical (7),6.15,61,7,1,7,1,7,1,7,1
The child celebrated the victory.,Atypical (1),5.05,62,7,1,7,1,7,1,7,2
The child celebrated the birthday.,Typical (7),6.45,62,7,1,7,1,7,1,7,1
The child chased the thief.,Atypical (1),2.05,63,7,1,6,1,5,1,7,1
The child chased the toy.,Typical (7),6.1,63,7,2,7,1,7,1,7,1
The child climbed the mountain.,Atypical (1),3.2,64,7,1,4,1,7,1,7,1
The child climbed the tree.,Typical (7),5.2,64,7,1,7,1,7,1,7,1
The child crossed the river.,Atypical (1),3.5,65,7,1,5,1,7,1,7,1
The child crossed the park.,Typical (7),5.55,65,7,1,7,1,7,1,7,1
The child cut the tree.,Atypical (1),1.75,66,5,1,1,1,5,1,7,1
The child cut the paper.,Typical (7),5.35,66,7,1,7,1,7,1,7,1
The child drank the beer.,Atypical (1),2.0,67,1,1,1,1,2,1,4,1
The child drank the coke.,Typical (7),4.65,67,7,1,7,1,7,1,8,3
The child drew the horse.,Atypical (1),5.65,68,7,1,7,1,5,1,7,1
The child drew the flower.,Typical (7),4.95,68,7,1,7,1,5,1,7,1
The child enjoyed the lecture.,Atypical (1),2.85,69,4,1,7,1,7,1,4,3
The child enjoyed the ride.,Typical (7),6.7,69,7,1,7,1,8,3,7,1
The child found the corpse.,Atypical (1),1.45,70,1,1,1,1,1,1,1,1
The child found the doll.,Typical (7),5.65,70,7,2,7,1,7,1,7,1
The child grabbed the tyre.,Atypical (1),2.3,71,4,1,5,1,7,1,7,1
The child grabbed the frisbee.,Typical (7),4.95,71,7,1,7,1,3,1,7,1
The child lent the car.,Atypical (1),1.45,72,1,1,1,1,3,1,7,1
The child lent the pen.,Typical (7),4.45,72,7,1,6,1,6,1,7,1
The child opened the congress.,Atypical (1),1.5,73,3,1,1,1,2,1,1,1
The child opened the present.,Typical (7),6.7,73,7,1,7,1,5,1,7,1
The child picked the investment.,Atypical (1),1.65,74,4,1,1,1,5,1,3,1
The child picked the flower.,Typical (7),5.4,74,7,1,7,1,7,1,7,1
The child rode the bull.,Atypical (1),2.0,75,4,1,5,1,5,1,7,1
The child rode the bus.,Typical (7),5.3,75,7,1,7,1,7,1,7,1
The child threw the bottle.,Atypical (1),4.2,76,7,1,7,1,7,1,B,3
The child threw the ball.,Typical (7),6.35,76,7,1,7,1,7,1,7,1
The child threw the spear.,Atypical (1),1.6,77,1,2,6,1,2,1,6,1
The child threw the snowball.,Typical (7),5.95,77,7,1,7,1,3,1,7,1
The child told the verdict.,Atypical (1),2.05,78,5,1,3,1,4,1,5,1
The child told the lie.,Typical (7),5.95,78,7,1,5,1,5,1,7,1
The child visited the president.,Atypical (1),3.05,79,4,1,4,1,4,1,7,1
The child visited the grandmother.,Typical (7),5.95,79,7,1,7,1,7,1,7,1
The child visited the prisoner.,Atypical (1),2.0,80,3,1,1,1,4,1,5,1
The child visited the zoo.,Typical (7),6.3,80,7,1,7,1,7,1,7,1
The child wrote the diagnosis.,Atypical (1),1.05,81,3,1,1,1,1,1,7,1
The child wrote the conjugation.,Typical (7),3.95,81,7,1,5,1,4,1,7,1
The climber climbed the staircase.,Atypical (1),5.6,82,4,1,7,1,7,1,7,1
The climber climbed the rock.,Typical (7),6.8,82,5,1,7,1,7,1,7,1
The climber faced the ocean.,Atypical (1),2.35,83,4,1,3,1,3,1,7,1
The climber faced the wall.,Typical (7),5.5,83,4,1,5,1,4,1,7,1
The climber used the blackboard.,Atypical (1),1.8,84,1,1,1,1,4,1,7,1
The climber used the rope.,Typical (7),6.85,84,7,1,7,1,5,1,7,1
The coach checked the car.,Atypical (1),2.45,85,7,1,4,1,4,1,7,1
The coach checked the team.,Typical (7),6.95,85,5,1,6,1,5,1,7,1
The cobbler fixed the phone.,Atypical (1),1.55,86,5,1,1,1,4,1,3,2
The cobbler fixed the shoe.,Typical (7),6.25,86,7,1,7,1,7,1,7,1
The cobbler sewed the parachute.,Atypical (1),1.6,87,1,1,1,1,3,1,1,1
The cobbler sewed the shoe.,Typical (7),6.6,87,7,1,7,1,4,1,7,1
The collector donated the blood.,Atypical (1),3.4,88,4,1,3,1,7,1,1,1
The collector donated the painting.,Typical (7),3.7,88,7,1,6,1,5,1,7,1
The comedian entertained the soldier.,Atypical (1),4.3,89,4,1,4,1,5,1,7,1
The comedian entertained the audience.,Typical (7),6.35,89,7,1,7,1,7,1,7,1
The confectioner decorated the tree.,Atypical (1),2.9,90,4,1,5,1,6,1,7,1
The confectioner decorated the cake.,Typical (7),6.05,90,5,1,7,1,7,1,7,1
The confectioner spread the cement.,Atypical (1),1.2,91,1,1,1,1,1,1,1,1
The confectioner spread the icing.,Typical (7),6.35,91,7,1,7,1,7,1,7,1
The cook bought the ticket.,Atypical (1),3.0,92,6,1,7,1,4,1,3,1
The cook bought the food.,Typical (7),5.1,92,7,1,7,1,7,1,7,1
The cook checked the tire.,Atypical (1),1.9,93,4,1,2,1,3,1,4,1
The cook checked the groceries.,Typical (7),6.2,93,M,3,7,1,6,1,7,1
The cook cleaned the window.,Atypical (1),2.3,94,4,1,1,1,B,3,7,1
The cook cleaned the fish.,Typical (7),6.1,94,7,1,7,1,7,1,7,3
The cook cut the grass.,Atypical (1),3.35,95,1,1,1,1,5,1,1,1
The cook cut the fish.,Typical (7),5.75,95,7,1,6,1,3,1,7,1
The cook flipped the hair.,Atypical (1),2.5,96,4,1,2,1,3,1,2,1
The cook flipped the pancake.,Typical (7),6.3,96,7,1,6,1,7,1,7,1
The cook mixed the paint.,Atypical (1),1.9,97,1,1,1,1,1,1,1,1
The cook mixed the ingredient.,Typical (7),6.15,97,5,1,7,1,3,1,7,1
The cowboy enjoyed the snack.,Atypical (1),4.8,98,4,1,6,1,5,1,7,1
The cowboy enjoyed the ride.,Typical (7),5.6,98,4,1,6,1,5,1,6,1
The cowboy rode the bike.,Atypical (1),3.25,99,4,1,2,1,2,1,1,1
The cowboy rode the bull.,Typical (7),5.7,99,5,1,7,1,8,3,7,1
The crew loaded the stroller.,Atypical (1),3.4,100,4,1,6,1,1,1,7,1
The crew loaded the container.,Typical (7),5.2,100,5,1,7,1,8,3,7,1
The customer read the music.,Atypical (1),2.6,101,3,1,1,1,2,1,7,1
The customer read the menu.,Typical (7),5.45,101,5,1,7,1,7,1,7,1
The cyclist completed the project.,Atypical (1),2.7,102,4,1,5,1,6,1,7,1
The cyclist completed the race.,Typical (7),6.25,102,7,1,7,1,7,1,7,1
The cyclist fixed the hair.,Atypical (1),2.5,103,1,1,1,1,1,1,7,1
The cyclist fixed the bike.,Typical (7),6.1,103,5,1,7,1,7,1,7,1
The cyclist rode the skates.,Atypical (1),2.1,104,1,1,1,1,3,1,1,1
The cyclist rode the bike.,Typical (7),6.5,104,7,1,7,1,7,1,8,3
The dealer checked the net.,Atypical (1),2.95,105,4,2,2,1,3,1,7,1
The dealer checked the car.,Typical (7),5.9,105,3,1,6,1,2,1,7,1
The dealer examined the plant.,Atypical (1),2.35,106,4,1,4,1,3,1,7,1
The dealer examined the car.,Typical (7),6.4,106,4,1,4,1,5,1,7,1
The dealer sold the meat.,Atypical (1),3.9,107,3,1,5,1,7,1,5,1
The dealer sold the car.,Typical (7),6.7,107,7,1,7,1,7,2,7,1
The deejay mixed the ingredient.,Atypical (1),2.1,108,3,1,4,1,4,1,4,2
The deejay mixed the music.,Typical (7),6.65,108,7,1,7,1,7,1,7,1
The demonstrator carried the ball.,Atypical (1),3.45,109,4,1,7,1,4,1,7,1
The demonstrator carried the flag.,Typical (7),5.85,109,4,1,7,1,4,1,7,1
The demonstrator signed the shirt.,Atypical (1),2.1,110,5,1,3,1,4,1,7,1
The demonstrator signed the petition.,Typical (7),5.25,110,5,1,6,1,5,1,7,1
The demonstrator threw the frisbee.,Atypical (1),2.05,111,4,1,6,1,5,1,5,1
The demonstrator threw the stone.,Typical (7),3.5,111,5,1,5,1,7,1,7,1
The diplomat carried the dog.,Atypical (1),3.0,112,4,1,5,1,3,1,7,1
The diplomat carried the message.,Typical (7),5.65,112,7,1,7,1,7,1,7,1
The doctor helped the cook.,Atypical (1),2.05,113,4,1,5,1,4,1,5,1
The doctor helped the woman.,Typical (7),6.1,113,7,1,7,1,7,1,7,1
The doctor offered the breakfast.,Atypical (1),2.15,114,4,1,1,1,4,2,4,1
The doctor offered the support.,Typical (7),6.0,114,6,2,7,1,5,1,7,1
The doctor sewed the shoe.,Atypical (1),1.6,115,4,1,1,1,4,1,5,1
The doctor sewed the wound.,Typical (7),5.65,115,7,1,7,1,7,1,7,1
The doctor used the shovel.,Atypical (1),2.9,116,4,1,1,1,4,1,4,1
The doctor used the stethoscope.,Typical (7),5.85,116,7,1,7,1,4,1,7,1
The doctor visited the museum.,Atypical (1),2.95,117,4,1,6,1,3,1,4,1
The doctor visited the patient.,Typical (7),6.05,117,7,1,7,1,8,3,7,1
The doctor wrote the conjugation.,Atypical (1),3.05,118,4,1,1,1,1,1,7,1
The doctor wrote the diagnosis.,Typical (7),6.8,118,7,1,7,1,7,1,7,1
The dog ate the plant.,Atypical (1),4.3,119,7,1,7,1,7,1,4,1
The dog ate the bone.,Typical (7),6.25,119,7,1,7,1,5,1,7,1
The dog carried the flag.,Atypical (1),1.45,120,1,1,1,1,4,1,7,1
The dog carried the ball.,Typical (7),6.0,120,7,1,7,1,7,1,7,1
The dog caught the wave.,Atypical (1),2.35,121,4,1,4,1,2,1,1,1
The dog caught the ball.,Typical (7),5.65,121,7,1,7,1,7,1,7,1
The dog chased the tank.,Atypical (1),2.25,122,1,1,1,1,1,1,1,1
The dog chased the ball.,Typical (7),6.5,122,7,1,7,1,7,1,7,1
The dog dug the grave.,Atypical (1),2.6,123,4,1,1,1,4,1,7,1
The dog dug the hole.,Typical (7),6.5,123,7,1,7,1,8,3,7,1
The dog fetched the tray.,Atypical (1),3.2,124,7,1,4,1,7,1,7,1
The dog fetched the ball.,Typical (7),5.5,124,7,1,7,1,7,1,7,1
The dog pulled the trigger.,Atypical (1),2.8,125,5,1,1,1,1,1,1,1
The dog pulled the sled.,Typical (7),5.05,125,7,1,7,1,7,1,7,1
The driver heard the baby.,Atypical (1),3.25,126,7,1,5,1,5,1,7,1
The driver heard the horn.,Typical (7),5.75,126,7,1,7,1,1,1,7,1
The electrician checked the rifle.,Atypical (1),1.9,127,1,1,1,1,2,1,1,1
The electrician checked the device.,Typical (7),5.35,127,7,1,6,1,4,1,7,1
The employee passed the rifle.,Atypical (1),1.8,128,1,1,5,1,4,1,7,1
The employee passed the report.,Typical (7),5.4,128,7,1,6,1,4,1,7,1
The employer offered the candy.,Atypical (1),2.85,129,5,1,B,3,3,1,6,1
The employer offered the job.,Typical (7),6.65,129,7,1,6,1,7,1,7,1
The engineer completed the painting.,Atypical (1),1.85,130,1,2,1,1,2,1,7,1
The engineer completed the project.,Typical (7),6.25,130,7,1,7,1,7,1,7,1
The engineer drew the flower.,Atypical (1),2.1,131,4,1,2,1,4,1,5,1
The engineer drew the turbine.,Typical (7),5.4,131,4,1,4,1,2,1,7,1
The farmer picked the killer.,Atypical (1),1.55,132,4,1,1,1,4,1,1,1
The farmer picked the vegetable.,Typical (7),5.8,132,7,1,7,1,7,1,7,1
The farmer plowed the sand.,Atypical (1),4.1,133,3,1,4,1,4,1,7,1
The farmer plowed the field.,Typical (7),6.8,133,7,1,7,1,7,1,7,1
The farmer sold the drug.,Atypical (1),1.45,134,4,1,1,1,5,1,1,1
The farmer sold the corn.,Typical (7),6.25,134,7,1,7,1,M,3,7,1
The farmer sprayed the cream.,Atypical (1),2.15,135,4,1,B,3,2,1,4,1
The farmer sprayed the pesticide.,Typical (7),6.7,135,5,1,7,1,4,1,7,1
The farmer used the computer.,Atypical (1),2.55,136,4,1,5,1,4,1,4,1
The farmer used the shovel.,Typical (7),5.95,136,7,1,7,1,5,1,7,1
The fighter kicked the television.,Atypical (1),2.6,137,5,1,1,1,5,1,4,1
