goal,step0,step1,label,llama2,mistral,orca-mini:7b,qwen:7b
Read Kindle Books on Android,Select the book you want to read.,Tap Library in the menu at the bottom of the screen.,B,A,A,A,A
Use a Green Screen,Install Shotcut.,Open Shotcut.,A,A,A,A,A
Do Victory Rolls,Secure the whole style in place with a final coat of hairspray.,Curl the loose hair with a hair dryer and round brush.,B,A,B,B,B
Clean a Wool Hat,Place the hat in the water.,Massage the hat in the water for a few minutes.,A,A,A,A,A
Buy from eBay With eBay Gift Cards,"Go to eBay.com, click on ""Sign in"" and log in using your eBay user name and password.",Locate the item you would like to purchase on eBay.,A,A,A,A,A
Convert Meters to Millimeters,"Write the number of meters, adding a decimal to the right of the last digit.",Move your pencil three places to the left.,A,A,A,A,A
Make a Drip Irrigator from a Plastic Bottle,Get a plastic bottle.,Poke holes in the sides of the bottle.,A,A,A,A,A
Make a Pumpkin Spice Latte,"Pour the strong, brewed coffee into a large, slow cooker.",Add the milk and heavy whipping cream.,A,A,A,A,A
Choose a Bicycle Helmet,Select a helmet that fits.,Check that the helmet sits down about halfway on your forehead.,A,A,A,A,A
Thin Paint,Add more water or a thinning agent if desired.,Begin work on your painting project.,A,B,A,A,B
Make a Good Cup of Tea,Plug in the kettle and turn it on.,Bring the water to a boil.,A,A,A,B,A
Faux Paint,Wipe and vacuum the surface.,Prime the surface.,A,A,B,A,A
Under Braid,Secure the braid with an elastic when it reaches the back of your crown.,Gather a section of hair from your nape and begin to braid it.,B,A,A,A,A
Make a Clay Cat,Make front legs.,Add a tail on the back at the bottom.,A,A,A,A,A
Save Money on Batteries,"Remove all of the cells for which you need to measure the voltage, from the device that is no longer working.",Measure the direct current voltage or DCV of the su,A,A,A,A,A
Sell Your Bird,Meet the buyer in person to ensure that they are able to look after the bird.,Ask the buyer to sign a contract that includes your wishes for the bird.,A,A,A,B,A
Remove an Iron on Transfer from Clothes Using an Iron,Remove any glue residue.,Wash the garment by itself.,A,A,A,A,A
Make Your Own Self Tanner,Put the tea bags in the water and wait for them to steep.,Heat up the water.,B,B,B,A,A
Help a Female Child Provide a Urine Sample,Wash your hands with sanitizer.,Clean your infant's genitalia.,A,A,A,A,A
Add Color to Beeswax,Prepare your colors.,Adjust your colors.,A,A,A,A,A
Find Your Singing Range,"Play descending notes, matching your pitch each time.","Sing the note, matching your pitch carefully.",B,A,B,A,A
Install an Outdoor Motion Sensor Light,Turn off the power to the light.,Unscrew the existing light.,A,A,A,A,A
Reuse False Eyelashes,Pull the lash slowly to the inner corner to remove.,Peel up the lash at the outer corner.,B,A,B,A,A
Download ROBLOX,Tap the Search icon.,"Open the App Store {""smallUrl"":""https:\/\/www.wikihow.com\/images\/5\/55\/Iphoneappstoreicon.png"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/5\/55\/Iphoneappstoreicon.png"",""smallWidth"":460,""smallHeight"":460,""bigWidth"":760,""bigHeight"":760,""licensing"":""<div class=\""mw-parser-output\""><p>I edited this screenshot of an iOS icon.\n<\/p><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""http:\/\/en.wikipedia.org\/wiki\/Fair_use\"">Fair Use<\/a><br>\n<\/p><\/div>""} on your iPhone or iPad.",B,A,A,A,A
Clean a Varnish Brush,Wash the brush with dish soap under warm running water.,Rinse the brush until the water runs clear.,A,A,A,A,A
