goal,step0,step1,label,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
Bathe Your Frog,"Lift, carry, and release the frog carefully.",Scoop your other fingers underneath the frogs,B,B,1,A,1,A,1,A,1
Buy Treasury Bonds in Australia,Check your holding statement for that month.,Place an order through your broker.,B,B,1,B,1,A,1,A,1
Tell Your Teacher You Don't Like Your Grades,"Compose the body of the email, and address your question about the grades you dislike.",Conclude the email and send it.,A,B,1,A,1,A,1,A,1
Preserve Fall Leaves,Coat both sides of each leaf in decoupage.,Select vibrant leaves.,B,B,1,A,1,A,1,A,1
Make Polymer Clay Jewelry,Mix and blend colors.,Sculpt your polymer clay.,A,B,1,A,1,A,1,A,1
Make Black Soap,Bring the water to a boil over high heat.,"Reduce the heat to medium and cook for 30 minutes, stirring often.",A,A,1,A,1,A,1,A,1
Clean an Umbilical Cord Stump on a Newborn Baby,Give your baby sponge baths.,Wash your hands before touching the stump.,B,A,1,B,1,A,1,A,1
Clean and Maintain Your Flute,Insert the rod into each section of the flute.,Twist the rod to clean inside.,A,A,1,A,1,A,1,A,1
Do a Back Walkover on the Beam,Start with your dominant leg and toe pointed right in front of you.,Lift your dominant leg up as high as you can.,A,B,1,A,1,B,1,B,1
Make a Family Birthday Calendar,Take your wooden planks and arrange them into a rectangle.,"To ensure your workspace doesn't get damaged, lay down old newspapers or a drop cloth to protect the surface you will be working on.",B,B,1,B,1,B,1,A,1
Read Kindle Books on Android,Select the book you want to read.,Tap Library in the menu at the bottom of the screen.,B,A,1,A,1,A,1,A,1
Use a Green Screen,Install Shotcut.,Open Shotcut.,A,A,1,A,1,A,1,A,1
Do Victory Rolls,Secure the whole style in place with a final coat of hairspray.,Curl the loose hair with a hair dryer and round brush.,B,A,1,B,1,B,1,B,1
Clean a Wool Hat,Place the hat in the water.,Massage the hat in the water for a few minutes.,A,B,1,A,1,A,1,A,1
Buy from eBay With eBay Gift Cards,"Go to eBay.com, click on ""Sign in"" and log in using your eBay user name and password.",Locate the item you would like to purchase on eBay.,A,B,1,A,1,A,1,A,1
Convert Meters to Millimeters,"Write the number of meters, adding a decimal to the right of the last digit.",Move your pencil three places to the left.,A,A,1,A,1,A,1,A,1
Make a Drip Irrigator from a Plastic Bottle,Get a plastic bottle.,Poke holes in the sides of the bottle.,A,B,1,A,1,A,1,A,1
Make a Pumpkin Spice Latte,"Pour the strong, brewed coffee into a large, slow cooker.",Add the milk and heavy whipping cream.,A,B,1,A,1,A,1,A,1
Choose a Bicycle Helmet,Select a helmet that fits.,Check that the helmet sits down about halfway on your forehead.,A,A,1,A,1,A,1,A,1
Thin Paint,Add more water or a thinning agent if desired.,Begin work on your painting project.,A,A,1,A,1,A,1,B,1
Make a Good Cup of Tea,Plug in the kettle and turn it on.,Bring the water to a boil.,A,A,1,A,1,A,1,A,1
Faux Paint,Wipe and vacuum the surface.,Prime the surface.,A,A,1,A,1,A,1,A,1
Under Braid,Secure the braid with an elastic when it reaches the back of your crown.,Gather a section of hair from your nape and begin to braid it.,B,B,1,B,1,B,1,A,1
Make a Clay Cat,Make front legs.,Add a tail on the back at the bottom.,A,A,1,A,1,A,1,A,1
Save Money on Batteries,"Remove all of the cells for which you need to measure the voltage, from the device that is no longer working.",Measure the direct current voltage or DCV of the su,A,B,1,A,1,A,1,A,1
Sell Your Bird,Meet the buyer in person to ensure that they are able to look after the bird.,Ask the buyer to sign a contract that includes your wishes for the bird.,A,A,1,A,1,A,1,A,1
Remove an Iron on Transfer from Clothes Using an Iron,Remove any glue residue.,Wash the garment by itself.,A,A,1,A,1,A,1,A,1
Make Your Own Self Tanner,Put the tea bags in the water and wait for them to steep.,Heat up the water.,B,A,1,B,1,B,1,A,1
Help a Female Child Provide a Urine Sample,Wash your hands with sanitizer.,Clean your infant's genitalia.,A,A,1,A,1,B,1,A,1
Add Color to Beeswax,Prepare your colors.,Adjust your colors.,A,A,1,A,1,A,1,A,1
Find Your Singing Range,"Play descending notes, matching your pitch each time.","Sing the note, matching your pitch carefully.",B,A,1,B,1,B,1,A,1
Install an Outdoor Motion Sensor Light,Turn off the power to the light.,Unscrew the existing light.,A,A,1,A,1,A,1,A,1
Reuse False Eyelashes,Pull the lash slowly to the inner corner to remove.,Peel up the lash at the outer corner.,B,B,1,A,1,A,1,A,1
Download ROBLOX,Tap the Search icon.,"Open the App Store {""smallUrl"":""https:\/\/www.wikihow.com\/images\/5\/55\/Iphoneappstoreicon.png"",""bigUrl"":""https:\/\/www.wikihow.com\/images\/5\/55\/Iphoneappstoreicon.png"",""smallWidth"":460,""smallHeight"":460,""bigWidth"":760,""bigHeight"":760,""licensing"":""<div class=\""mw-parser-output\""><p>I edited this screenshot of an iOS icon.\n<\/p><p>License: <a rel=\""nofollow\"" class=\""external text\"" href=\""http:\/\/en.wikipedia.org\/wiki\/Fair_use\"">Fair Use<\/a><br>\n<\/p><\/div>""} on your iPhone or iPad.",B,A,1,A,1,A,1,A,1
Clean a Varnish Brush,Wash the brush with dish soap under warm running water.,Rinse the brush until the water runs clear.,A,A,1,A,1,A,1,A,1
Clean a Vacuum Thermosflask That Has Stains at the Bottom,Add a few spoonfuls of salt.,Fill your flask with ice.,B,A,1,B,1,A,1,A,1
Apply AirStone,"Allow at least six, and up to 48 hours, of drying time.",Wipe up excess adhesive immediately with a damp cloth.,B,A,1,A,1,B,1,A,1
Use Ratchet Straps,Open up the ratchet and pull the strap loose.,Pull and hold the release tab to close the ratchet again.,A,A,1,A,1,A,1,A,1
Change the Executor of a Family Trust,Talk to your beneficiaries.,Evaluate your trust documents.,B,A,1,A,1,A,1,B,1
Set Up a Home Theater System,Connect your video input to your receiver.,Test and troubleshoot your video connection before moving on to the speakers.,A,A,1,B,1,A,1,B,1
Make Loom Bands,Repeat Step 2.,Slide the pencil under the front of the bottom band on the second tine.,B,A,1,A,1,B,1,A,1
Draw a Model of the Digestive System,Outline your model.,Color each organ a different color.,A,A,1,A,1,A,1,A,1
Brighten Your Skin,Apply a thick layer of the mixture to your skin.,Add other ingredients to your cucumber paste.,B,A,1,A,1,A,1,A,1
Clean Carrara Marble,Make a cleaning solution with mild dish soap and water.,Wipe down the marble with your soap solution.,A,A,1,A,1,A,1,A,1
Get eBay Bucks,Wait for your Bucks Certificate to arrive.,Earn at least $5 in eBay Bucks in the calendar quarter.,B,B,1,A,1,B,1,B,1
Attach a Garden Hose to a Kitchen Faucet,Make sure the hose gasket is in place the hose has a rubber or vinyl gasket in it to prevents leaks.,Screw on the hose.,A,A,1,B,1,A,1,A,1
Organize Craft Supplies,Finished.,Label with tape or paper what is in each container.,B,B,1,B,1,A,1,A,1
Apply for an SBI Credit Card,Provide the necessary information.,Agree to the terms and conditions.,A,A,1,A,1,A,1,A,1
Buy Books on Google Play,Go to the Books section.,Visit Google Play.,B,B,1,B,1,A,1,A,1
Use Amazon on Demand,Navigate to the Amazon Video on Demand Store.,Select a movie or TV show to watch.,A,A,1,A,1,A,1,A,1
Straighten Curly and Thick Hair,Purchase the right straightener for your hair type.,Turn on your straightener and select the right heat setting.,A,A,1,A,1,A,1,A,1
Rip a Karaoke CD Using Golden Hawk CDRWin,CDRWIN will start ripping your selected tracks to the selected location and in selected format.,Now choose the tracks you want to rip and click on start button below.,B,B,1,B,1,B,1,A,1
Apply a Tourniquet,Use a stick or rod for tightening.,Apply the tourniquet between the heart and injury.,B,A,1,A,1,A,1,A,1
Sew a Reversible Tote Bag,"Turn ""one"" pouch right side out.",Add pockets.,A,A,1,A,1,A,1,A,1
Select a Garter Belt,Find out the return policy before you buy anything.,Keep your receipt and leave the tags on.,A,A,1,A,1,A,1,A,1
Gently Bleach Your Skin Naturally,Apply the lemon juice to your face.,Wash if off and repeat daily.,A,B,1,A,1,A,1,B,1
Paint a Textured Ceiling,Tape around all the wall edges with painters tape if you are painting the ceiling a color that differs from the walls.,"Vacuum the ceiling using a hand-held vacuum cleaner with a soft-bristled attachment, being careful not to damage the texture.",B,A,1,A,1,B,1,A,1
Clean Air Conditioner Coils,Use the hose to rinse the cleaner off of outdoor units.,Reassemble the unit.,A,B,1,A,1,A,1,A,1
Play Futsal,Set a timer for 20 minutes.,Choose 5 players per team.,B,A,1,B,1,A,1,A,1
Inspect Parts Using Dye Penetrant,"Remove excess penetrant using a clean, dry, lint free cloth.",Apply the penetrant to the surface being inspected.,B,A,1,A,1,A,1,B,1
Dye Eggs for Easter,Cover with glitter paint.,Let dry.,A,A,1,B,1,A,1,A,1
Make Slime,Put the mixture in the refrigerator.,Remove the mixture from the refrigerator.,A,B,1,A,1,B,1,A,1
Buoy an Anchor,Attach the buoy to the line with a large eye splice.,Cut polypropylene cord for the buoy.,B,A,1,A,1,A,1,B,1
Graph a Quadratic Equation,Draw the parabola's axis (optional).,Plot your vertex.,B,A,1,A,1,A,1,B,1
Obtain a Cypriot Citizenship,Apply for citizenship if you've lived in Cyprus for 7 years.,Choose citizenship by investment if you can invest.,A,A,1,B,1,A,1,A,1
