Sentence,Typicality,Rating,Item,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
The anchorman told the parable.,Atypical (1),3.0,2,5,1,2,1,4,1,7,1
The anchorman told the news.,Typical (7),6.75,2,8,3,7,1,6,1,7,1
The animal found the map.,Atypical (1),2.0,3,5,1,2,1,6,1,7,1
The animal found the food.,Typical (7),5.85,3,7,1,7,1,5,1,B,3
The ant stacked the suitcase.,Atypical (1),1.95,4,1,1,1,1,2,1,4,1
The ant stacked the supply.,Typical (7),4.4,4,1,1,1,1,3,1,1,1
The archeologist examined the dog.,Atypical (1),1.6,5,5,1,4,1,4,1,4,1
The archeologist examined the epigraph.,Typical (7),5.5,5,5,1,7,1,2,1,7,1
The archer released the interview.,Atypical (1),2.5,6,1,1,1,1,B,3,4,1
The archer released the arrow.,Typical (7),6.6,6,7,1,7,1,5,1,7,1
The artist assembled the tent.,Atypical (1),2.0,7,5,1,3,1,2,1,7,1
The artist assembled the art.,Typical (7),6.35,7,3,1,7,1,7,1,7,1
The artist hung the motorcycle.,Atypical (1),1.95,8,3,1,3,1,4,1,3,1
The artist hung the picture.,Typical (7),5.5,8,8,3,7,1,B,3,7,1
The assistant helped the soldier.,Atypical (1),2.8,9,6,1,5,2,7,1,4,1
The assistant helped the cook.,Typical (7),5.25,9,8,3,7,1,8,3,7,1
The astronaut reached the baker.,Atypical (1),2.35,10,5,1,4,1,2,1,4,1
The astronaut reached the moon.,Typical (7),5.4,10,8,3,7,1,1,1,7,1
The astronaut touched the guitar.,Atypical (1),2.0,11,5,1,4,1,4,1,2,1
The astronaut touched the ground.,Typical (7),4.8,11,4,1,7,1,3,1,7,1
The athlete celebrated the marriage.,Atypical (1),3.1,12,5,1,7,1,4,1,7,1
The athlete celebrated the victory.,Typical (7),6.65,12,4,1,7,1,7,1,7,1
The athlete started the vacuum.,Atypical (1),3.45,13,1,1,3,1,4,1,7,1
The athlete started the match.,Typical (7),4.15,13,9,3,7,1,7,1,7,1
The athlete won the toy.,Atypical (1),3.15,14,5,1,1,1,4,1,1,1
